Tag No,Serial No,Description,Type,CustID,Acquisition Date,Building,Room,Status,UTAID,Name,Email,CustBuilding,CustRoom
000001,zDb344pk,Black Lenovo 15 inch laptop. 2.4 ghz,desktop,1000000005,,ERB,100,Active,1000000005,Samantha Smith,Samatha.Smith@uta.edu,ERB,308
000002,u3VlA803,"Dell desktop computer, 3.2 ghz",desktop,1000000011,,NH,222,Active,1000000011,Madison Jackson,Madison.Jackson@uta.edu,WH,216
000003,321nST22,"iPad 2 16gb, white",Tablet/iPad,1000000013,2018-01-01,ERB,300,Missing(Hold for Deletion),1000000013,Kristin Paulson,Kristin.Paulson@uta.edu,NH,118
000004,800IuHCS,MacBook Pro 14 inch 2.4 ghz,desktop,1000000003,,ERB,131,Active,1000000003,Tom Parks,Tom.Parks@uta.edu,ERB,410
000005,OP7y2aRL,Black Lenovo 15 inch laptop. 2.4 ghz,desktop,1000000019,,NH,533,Active,1000000019,Michael Roberts,Michael.Roberts@uta.edu,WH,211
000006,IuV372b1,Acer Inspire laptop 2.8 ghz,desktop,1000000015,,ERB,111,Missing(Stolen),1000000015,Christina Weathers,Christina.Weathers@uta.edu,ERB,620
000007,Kj109Tt4,"iPad 1, white",desktop,1000000013,,ERB,234,Surplus,1000000013,Kristin Paulson,Kristin.Paulson@uta.edu,NH,118
000008,H76zQ6m1,"Dell desktop computer, 2.6 ghz, 8 gigs of ram",desktop,1000000002,,ERB,641,Active,1000000002,Jane Doe,Jane.Doe@uta.edu,NH,220
000009,1123Fn94,Acer Inspire Laptop 2.8 ghz,desktop,1000000010,2017-11-12,ELB,211,Active,1000000010,Kimberly McAllen,Kimberly.McAllen@uta.edu,NH,408
000010,36BsUI58,IBM Laptop 14 inch 2.2 ghz,desktop,1000000009,,ERB,622,Surplus,1000000009,Beatrice Reynolds,Beatrice.Reynolds@uta.edu,ERB,324
000011,78JiX0vC,White MacBook 4.2 ghz,Laptop,1000000017,2018-01-20,NH,432,Active,1000000017,Lisa Franks,Lisa.Franks@uta.edu,ERB,207
000012,YE23vMiK,"HP Desktop computer, 2.0  ghz 12 gb of ram",desktop,1000000001,,ERB,331,Active,1000000001,John Doe,John.Doe@uta.edu,ERB,530
000013,03bDE48N,Canon 13MP black,Camera,1000000007,2017-12-25,ERB,542,Active,1000000007,Jim Thomas,Jim.Thomas@uta.edu,WH,315
000014,J9f72aDo,"HP Desktop, 3.2 ghz",Desktop,1000000005,2017-01-15,ERB,333,Surplus,1000000005,Samantha Smith,Samatha.Smith@uta.edu,ERB,308
000015,I31nmS0L,Lenovo Thinkpad 14 inch tablet,desktop,1000000010,,NH,124,Active,1000000010,Kimberly McAllen,Kimberly.McAllen@uta.edu,NH,408
000016,8lmAq6kP,"HP 13 inch laptop, 3.0 ghz",desktop,1000000020,,ERB,432,Active,1000000020,Jennifer Meyers,Jennifer.Meyers@uta.edu,ERB,112
000017,Ka73Hu9s,"Lenovo Desktop Computer, 2.8 ghz",Desktop,1000000018,2017-11-19,ERB,601,Missing(Stolen),1000000018,Dana Davidson,Dana.Davidson@uta.edu,WH,415
000018,P05kN4bQ,"iPad 2, White",Tablet,1000000008,2017-12-05,ERB,543,Active,1000000008,Benedict Palmer,Benedict.Palmer@uta.edu,NH,512
000019,266naFt0,"Dell 15 inch laptop, black",desktop,1000000012,,ERB,360,Missing(Hold for Deletion),1000000012,Robert Murdoch,Robert.Murdoch@uta.edu,WH,109
000020,L3nA47ls,Minolta 15MP white,Camera,1000000015,2018-01-19,ERB,650,Active,1000000015,Christina Weathers,Christina.Weathers@uta.edu,ERB,620
