Custodian ID,Name,Email,Building,Room
1000000001,John Doe,John.Doe@uta.edu,ERB,530
1000000002,Jane Doe,Jane.Doe@uta.edu,NH,220
1000000003,Tom Parks,Tom.Parks@uta.edu,ERB,410
1000000004,Bill Stevens,Bill.Stevens@uta.edu,WH,312
1000000005,Samantha Smith,Samatha.Smith@uta.edu,ERB,308
1000000006,Steve Williams,Steve.Williams@uta.edu,ERB,210
1000000007,Jim Thomas,Jim.Thomas@uta.edu,WH,315
1000000008,Benedict Palmer,Benedict.Palmer@uta.edu,NH,512
1000000009,Beatrice Reynolds,Beatrice.Reynolds@uta.edu,ERB,324
1000000010,Kimberly McAllen,Kimberly.McAllen@uta.edu,NH,408
1000000011,Madison Jackson,Madison.Jackson@uta.edu,WH,216
1000000012,Robert Murdoch,Robert.Murdoch@uta.edu,WH,109
1000000013,Kristin Paulson,Kristin.Paulson@uta.edu,NH,118
1000000014,Timothy McCarthy,Timothy.McCarthy@uta.edu,ERB,612
1000000015,Christina Weathers,Christina.Weathers@uta.edu,ERB,620
1000000016,David Walker,David.Walkers@uta.edu,NH,520
1000000017,Lisa Franks,Lisa.Franks@uta.edu,ERB,207
1000000018,Dana Davidson,Dana.Davidson@uta.edu,WH,415
1000000019,Michael Roberts,Michael.Roberts@uta.edu,WH,211
1000000020,Jennifer Meyers,Jennifer.Meyers@uta.edu,ERB,112
1000800637,Thor Odinson,Thor@asgard.com,ERB,122
